Year,1999,2004,2006
Panel I,,,
Mean Monthly Earnings (Naira),,,
Family Agriculture,"4,573","8,219","8,851"
Non-agric self employment,"6,065","9,174","9,049"
Wage employment,"9,924","16,437","12,362"
Total,"5,785","9,739","9,427"
Monthly Minimum Wage,"3,500","7,500","7,500"
,,,
Panel II,,,
Wage Ratios,,,
Fam agric earnings/minimum wage,1.3,1.1,1.2
Self emp earnings /fam agric earnings,1.3,1.1,1
Wage emp earnings/fam agric earnings,2.2,2,1.4
Wage emp earnings/self emp earnings,1.6,1.8,1.4
,,,
Panel III,,,
Percentage of the Labor Force,,,
Family Agriculture,41.9,47.9,50.7
Non-agric self employment,32.8,33.8,30.7
Wage employment,20.1,13.6,13.5
Other categories*,5.1,4.7,5.1
Total,100,100,100
,,,
Panel IV,,,
Years of Education,,,
Family Agriculture,2.7,3.5,3.5
Non-agric self employment,5.6,6.3,6.3
Wage employment,9.8,10.8,10.8
Total,4.6,5.4,5.2
