Characteristics,Urban,,, Rural,,
,1999,2004,2006,1999,2004,2006
POPULATION AGED 15-65,,,,,,
Family Agriculture,7.9,6.5,10.6,40.8,48.2,46.7
Non-agric self employment,44.9,50.2,44.9,15,16.4,15.6
Wage employment,23.3,21,19.3,11.4,6.3,7
Other Categories*,6,5.1,7,2.8,3,2.9
Not in Labor Force**,18,17.2,18.3,30.1,26.2,27.9
Total,100,100,100,100,100,100
POPULATION AGED 15-25,,,,,,
Family Agriculture,4,3.7,5.5,16.9,34,31.1
Non-agric self employment,28,34.8,23.7,9.5,15.3,12
Wage employment,13.5,9.1,9.3,15.4,2.7,3.2
Other Categories*,20.8,18.6,20,9.9,9.1,9
Not in Labor Force**,30.8,33.5,37.5,48.2,38.9,44.8
Total,100,100,100,100,100,100
