Variables,Cx,Ci,Ca,Cf,Cu,PF,TFR (Survey),TFR (Bongaarts)
National,0.68,0.64,0.94,0.8,0.82,19.61,5.29,5.67
Education,,,,,,,,
No education,0.83,0.58,0.95,0.78,0.91,20.57,6.74,6.88
Primary,0.69,0.63,0.94,0.75,0.69,27.65,5.81,4.41
Secondary/Higher,0.58,0.7,0.91,0.84,0.62,22.09,4.21,4
Residence,,,,,,,,
Urban,0.61,0.68,0.92,0.8,0.59,24.82,4.5,3.81
Rural,0.74,0.61,0.94,0.8,0.81,21.45,5.94,5.82
Wealth quintile,,,,,,,,
Lowest,0.79,0.56,0.95,0.81,0.91,21.44,6.7,6.56
Second,0.75,0.61,0.95,0.8,0.84,21.26,6.2,6.12
Middle,0.66,0.64,0.94,0.79,0.75,23.89,5.59,4.91
Fourth,0.63,0.68,0.92,0.8,0.61,23.63,4.55,4.04
Highest,0.61,0.73,0.9,0.8,0.54,21.82,3.79,3.65
Workforce,,,,,,,,
In workforce,0.73,0.64,0.93,0.78,0.67,22.94,5.22,4.78
Not in workforce,0.58,0.63,0.94,0.86,0.84,23.68,5.93,5.26
Regions,,,,,,,,
North Central,0.65,0.63,0.93,0.8,0.7,23.73,5.03,4.45
North East,0.73,0.62,0.95,0.82,0.84,20.6,6.06,6.18
North West,0.77,0.58,0.95,0.83,0.86,21.81,6.6,6.35
South East,0.55,0.69,0.92,0.77,0.56,31.44,4.72,3.15
South South,0.63,0.75,0.9,0.74,0.63,20.05,4.03,4.22
South West,0.63,0.68,0.91,0.8,0.53,23.24,3.86,3.49
