Variable,Obs,Mean,Std. Dev.,Min,Max
All Countries,,,,,
 ENC,875,33.2,22.5,0,88.1
 RGDP (billion naira),875,33.7,75.3,0.5,509
 GCI,875,21.8,9.3,1.5,79.4
 CO2,875,45863.2,88678.3,290,560860
 TOP,875,63.8,29.4,0.8,175.8
 REQ,875,27.6,19.7,0.5,86.1
Low-Income Countries,,,,,
 ENC,500,28.4,19.2,0,71
 RGDP (billion naira),500,13.1,18.4,0.5,97.3
 GCI,500,20.7,9.7,1.5,60.2
 CO2,500,24773.1,23681.9,290,106250
 TOP,500,52.9,22.2,0.8,132.4
 REQ,500,21,14.7,0.5,60.1
Middle-Income Countries,,,,,
 ENC,375,39.6,24.8,0,88.1
 RGDP (billion naira),375,61.2,107,2.2,509
 GCI,375,23.2,8.4,11.8,79.4
 CO2,375,73983.3,127441.2,2080,560860
 TOP,375,78.3,31.5,16.4,175.8
 REQ,375,36.4,22,4.8,86.1
