 Variable ,CADF,,CIPS,
,Level,First Diff,Level,First Diff
lnENC ,-2.309*,-3.018*,-2.738*,-4.766*
lnRGDP ,-1.756,-1.994***,-2.021,-3.984*
lnGCI ,-2.017***,-2.757*,-2.332*,-4.752*
lnCO2 ,-1.757,-2.466*,-2.623*,-4.939*
lnTOP ,-1.159,-2.918*,-1.73,-4.668*
REQ,-1.732,-2.734*,-2.434*,-5.027*
Low-Income Countries,,,,
lnENC ,-2.885*,-3.152*,-2.909*,-4.796*
lnRGDP ,-1.865,-2.066***,-1.913,-4.127*
lnGCI ,-2.158**,-2.791*,-2.657**,-4.893*
lnCO2 ,-1.875,-2.552*,-2.582*,-4.919*
lnTOP ,-1.43,-2.997*,-1.804,-4.908*
REQ,-2.066***,-2.499*,-2.401*,-4.718*
Middle-Income Countries,,,,
lnENC ,-2.17***,-2.613*,-2.144***,-4.816*
lnRGDP ,-1.768,-1.844*,-2.323**,-3.616*
lnGCI ,-1.734,-2.51*,-1.772,-4.975*
lnCO2 ,-1.808,-2.308*,-2.297**,-4.798*
lnTOP ,-1.602,-2.876*,-1.948,-4.517*
REQ,-1.589,-2.966*,-2.637*,-5.42*
