state,local,mean,sd,q025,q05,q25,q50,q75,q95,q975
Abia,Aba North,235579.38,26022.48444,194143.325,200135.8,218890.25,231982,248100.75,283449.8,297716.325
Abia,Aba South,318624.073,33973.91909,264476.925,272159.45,296776.25,313979,335409.5,380879.8,400141.5
Abia,Arochukwu,127953.6635,14212.80338,105222.9,108591,118476.5,126127,135219.25,153619.4,161936.225
Abia,Bende,203629.7042,22650.57012,167519,172693.05,188854.75,200672.5,215285.25,244224.6,257753.55
Abia,Ikwuano,91150.9352,10007.71732,74589.975,76891.35,84244.25,90026.5,96746,109153.75,114467.675
Abia,Isiala-Ngwa North,182503.7699,22472.16649,146119.95,151108.35,166840,179719.5,195015.75,223627.3,235176.175
Abia,Isiala-Ngwa South,233177.05,31200.66595,183158.3,189636,211179.75,229332,250865.25,290089.25,305750.275
Abia,Isuikwuato,158332.6524,17075.34398,130085.9,134270.45,146863.75,156392.5,167609.5,188411.55,198913.55
Abia,Obi Nwga,342563.8912,36126.56101,284071.775,292474.8,317893,337829.5,362319,408040.4,428051.275
Abia,Ohafia,177213.7658,20835.96202,145118.6,149532.95,163477.25,174236.5,186723.75,215449.85,228318.9
Abia,Osisioma Ngwa,451797.4193,48029.59167,378099.575,389035.95,420198.75,444190.5,474804,540150.75,571226.425
Abia,Ugwunagbo,77250.1895,9054.964085,62797.9,64639.75,70922.5,76068,82352,93794,98391.35
Abia,Ukwa East,58156.3477,6522.828693,47742.875,49064,53663.75,57367.5,61789.25,70087.1,73396.025
Abia,Ukwa West,100646.6133,11288.97717,82510.8,84847.85,92824.75,99223,107031.25,121352.75,126803.325
Abia,Umuahia North,276146.839,28145.56646,231818.925,238595.9,257645.5,272058,289915.75,327252.5,344131.45
Abia,Umuahia South,196713.3197,22266.99739,163411.75,167793.95,181961.75,193006.5,207395.25,237507.2,252098.625
Abia,Umu-Nneochi,167778.7,18267.48484,138534.9,142727.95,155512.75,165402.5,177568.5,200375.3,211151.425
Adamawa,Demsa,189315.1597,31709.27019,136296.05,143555.95,167255.5,186211.5,207283.25,245558.9,259978.65
Adamawa,Fufore,460889.3557,65946.50936,343800.275,361118,414994.25,457159.5,501048.25,576878.9,604458.825
