Variables,Model 1,Model 2,Model 3,Model 4,Model 5
Log monthly income,-0.0245,-0.139,-0.131,-0.5280**,-0.5070*
,0.132,0.136,0.136,0.26,0.261
Hours worked per week,0.0076*,0.00834**,0.0105**,0.0097**,0.0059
,0.0043,0.0042,0.0044,0.0044,0.0068
Childhood household size,0.0503**,0.0444**,0.0453**,-0.428,-0.418
,0.0222,0.022,0.022,0.265,0.265
Number of dependent children,0.2500**,-5.6220***,-4.3520**,-4.6080**,-4.6430**
,0.124,1.95,2.073,2.072,2.074
Income × Dependent,,0.5460***,0.4790***,0.4960***,0.5020***
,,0.181,0.185,0.184,0.185
Hoursworked × Dependent,,,-0.0085*,-0.0073,-0.0077
,,,0.0048,0.0048,0.0049
Income × Childhood,,,,0.0422*,0.0391
,,,,0.0236,0.024
Hoursworked × Childhood,,,,,0.0004
,,,,,0.0005
Constant,1.8,3.0990*,2.809,7.2030**,7.2640**
,1.774,1.808,1.81,3.044,3.047
Observations,394,394,394,394,394
R-squared,0.223,0.241,0.248,0.254,0.255
