Variables,Cx,Ci,Ca,Cf,Cu,PF,TFR (Survey),TFR (Bongaarts)
National,0.7,0.62,0.94,0.82,0.82,20.72,5.72,5.8
Education,,,,,,,,
No education,0.85,0.57,0.96,0.77,0.94,21.8,7.29,7.02
Primary,0.71,0.63,0.95,0.82,0.72,25.95,6.49,5.25
Secondary/Higher,0.55,0.69,0.91,0.89,0.54,24.85,4.23,3.57
Residence,,,,,,,,
Urban,0.65,0.7,0.92,0.84,0.56,23.71,4.71,4.17
Rural,0.73,0.59,0.95,0.81,0.79,23.83,6.28,5.53
Wealth quintile,,,,,,,,
Lowest,0.83,0.56,0.96,0.8,0.94,21.29,7.12,7.02
Second,0.76,0.57,0.96,0.81,0.87,24.17,7.02,6.1
Middle,0.66,0.6,0.95,0.81,0.77,24.92,5.88,4.95
Fourth,0.64,0.69,0.93,0.84,0.6,23.92,4.96,4.35
Highest,0.64,0.75,0.9,0.86,0.47,22.79,4.04,3.72
Workforce,,,,,,,,
In workforce,0.77,0.62,0.94,0.8,0.67,24.54,5.93,5.08
Not in workforce,0.6,0.61,0.95,0.87,0.77,26.24,5.99,4.79
Regions,,,,,,,,
North Central,0.66,0.56,0.94,0.8,0.73,26.42,5.41,4.3
North East,0.81,0.59,0.96,0.8,0.93,20.97,7.16,7.17
North West,0.86,0.58,0.96,0.81,0.95,20.19,7.3,7.59
South East,0.51,0.73,0.92,0.8,0.57,31.08,4.82,3.26
South South,0.66,0.71,0.92,0.84,0.51,25.49,4.69,3.86
South West,0.64,0.65,0.92,0.84,0.49,28.48,4.52,3.33
